,search_log_id,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total
203,86478,253368.0,253368.0,0.0,0,0.0,0.0
204,86496,100000.0,142711.56,0.0,0,15682.56,27029.0
205,86502,1032.75,1147.5,0.0,0,114.75,0.0
206,86543,361987.2,361987.2,0.0,0,0.0,0.0
207,86551,167719.0,167719.0,0.0,0,0.0,0.0
208,86561,161274.0,167760.0,10290.0,0,16776.0,0.0
209,86612,73353.0,78476.89,8500.0,0,8623.89,5000.0
210,86645,495.7,495.7,0.0,0,0.0,0.0
211,86659,171058.0,192176.22,0.0,0,21118.22,0.0
212,86696,116008.0,121175.56,6950.0,0,12117.56,0.0
213,86700,116008.0,121175.56,6950.0,0,12117.56,0.0
214,86726,379831.0,379831.0,0.0,0,0.0,0.0
215,86746,259384.0,293760.0,0.0,0,29376.0,5000.0
216,86786,173200.0,198000.0,0.0,0,19800.0,5000.0
217,86789,112871.0,130967.78,0.0,0,13096.78,0.0
218,86807,231243.0,259791.56,0.0,0,28548.56,0.0
219,86930,270498.36,270498.36,0.0,0,0.0,0.0
220,87011,95312.0,85912.0,9400.0,0,0.0,0.0
221,87047,284764.0,316404.4,0.0,0,31640.4,0.0
222,87055,96135.0,89185.0,6950.0,0,0.0,0.0
223,87061,154028.0,187920.0,0.0,0,18792.0,15100.0
224,87160,408.8,408.8,0.0,0,0.0,0.0
225,87184,301716.0,301716.0,0.0,0,0.0,0.0
226,87203,155876.0,155876.0,0.0,0,0.0,0.0
227,87225,265842.0,295380.0,0.0,0,29538.0,0.0
228,87240,195902.0,195902.0,0.0,0,0.0,0.0
229,87287,305694.0,339660.0,0.0,0,33966.0,0.0
230,87309,300694.0,339660.0,0.0,0,33966.0,5000.0
231,87346,126822.0,126822.0,0.0,0,0.0,0.0
232,87354,90003.0,90003.0,0.0,0,0.0,0.0
233,87366,826.7,826.7,0.0,0,0.0,0.0
234,87581,161935.0,179927.8,0.0,0,17992.8,0.0
235,87596,241896.0,287742.22,0.0,0,28774.22,17072.0
236,87672,110711.0,123012.22,0.0,0,12301.22,0.0
237,87678,110711.0,123012.22,0.0,0,12301.22,0.0
238,87754,2474.35,2793.8700000000003,0.0,0,307.02,12.5
239,87961,96170.0,96170.0,0.0,0,0.0,0.0
240,88208,109609.0,109609.0,0.0,0,0.0,0.0
241,88212,359757.0,405285.56,0.0,0,40528.56,5000.0
242,88253,286600.0,324000.0,0.0,0,32400.0,5000.0
243,88260,1003.2,1003.2,0.0,0,0.0,0.0
244,88302,410.35,461.01,0.0,0,50.66,0.0
245,88364,161234.0,161234.0,0.0,0,0.0,0.0
246,88370,677790.0,677790.0,0.0,0,0.0,0.0
247,88383,185026.0,211140.0,0.0,0,21114.0,5000.0
248,88421,245662.0,307077.52,0.0,0,61415.52,0.0
249,88442,394740.0,394740.0,0.0,0,0.0,0.0
250,88514,127296.0,127296.0,0.0,0,0.0,0.0
251,88523,196193.0,223992.22,0.0,0,22399.22,5400.0
252,88548,581.4,581.4,0.0,0,0.0,0.0
253,88551,1638.17,1820.19,0.0,0,182.02,0.0
254,88555,178955.0,201048.22,0.0,0,22093.22,0.0
255,88553,121650.0,110160.0,11490.0,0,0.0,0.0
256,88594,276.78,310.95,0.0,0,34.17,0.0
257,88685,118477.0,133103.78,0.0,0,14626.78,0.0
258,88855,240182.0,240182.0,0.0,0,0.0,0.0
259,89002,208080.0,208080.0,0.0,0,0.0,0.0
260,89009,68156.0,68156.0,0.0,0,0.0,0.0
261,89031,280.32,280.32,0.0,0,0.0,0.0
262,89139,250193.0,287260.0,0.0,0,31567.0,5500.0
263,89152,216906.0,243240.0,2990.0,0,24324.0,5000.0
264,89206,122873.0,154501.11,0.0,0,16978.11,14650.0
265,89215,181025.0,201138.89,0.0,0,20113.89,0.0
266,89370,128226.0,142473.33,0.0,0,14247.33,0.0
267,89375,128226.0,142473.33,0.0,0,14247.33,0.0
268,89388,145170.0,133670.0,11500.0,0,0.0,0.0
269,89398,128226.0,142473.33,0.0,0,14247.33,0.0
270,89416,290822.0,323135.56,0.0,0,32313.56,0.0
271,89422,552479.0,646271.11,0.0,0,64627.11,29165.0
272,89658,149290.0,198720.0,0.0,0,29808.0,19622.0
273,89685,344088.0,382320.0,0.0,0,38232.0,0.0
274,89817,506.36,624.98,0.0,0,68.68,49.94
275,89844,170485.0,197149.78,0.0,0,21664.78,5000.0
276,89990,81003.0,90003.33,0.0,0,9000.33,0.0
277,90110,785.4,785.4,0.0,0,0.0,0.0
278,90112,785.4,785.4,0.0,0,0.0,0.0
279,90145,89557.0,99507.78,0.0,0,9950.78,0.0
280,90214,85484.0,85484.0,0.0,0,0.0,0.0
281,90249,440.1,489.0,0.0,0,48.9,0.0
282,90254,184540.0,210600.0,0.0,0,21060.0,5000.0
283,90265,218074.0,247860.0,0.0,0,24786.0,5000.0
284,90283,242514.0,269460.0,0.0,0,26946.0,0.0
285,90289,326982.0,422324.44,0.0,0,42232.44,53110.0
