,id,search_log_room_id,age,baby_bed
735,2197,5583,12,0
736,2198,5584,12,0
737,2199,5585,12,0
738,2200,5707,4,0
739,2201,5707,6,0
740,2202,5715,12,0
741,2203,5715,17,0
742,2204,5716,12,0
743,2205,5716,17,0
744,2206,5718,12,0
745,2207,5719,17,0
746,2208,5721,12,0
747,2209,5723,17,0
748,2210,5723,12,0
749,2211,5727,14,0
750,2212,5730,14,0
751,2213,5732,14,0
752,2214,5733,10,0
753,2215,5735,13,0
754,2216,5802,5,0
755,2217,5809,5,0
756,2218,5810,10,0
757,2219,5810,11,0
758,2220,5811,10,0
759,2221,5811,11,0
760,2222,5812,11,0
761,2223,5812,12,0
762,2224,5813,11,0
763,2225,5813,12,0
764,2226,5814,11,0
765,2227,5814,12,0
766,2228,5835,12,0
767,2229,5835,14,0
768,2230,5849,1,1
769,2231,5853,1,1
770,2232,5854,16,0
771,2233,5859,15,0
772,2234,5863,1,1
773,2235,5868,10,0
774,2236,5868,13,0
775,2237,5879,9,0
776,2238,5884,3,0
777,2239,5884,5,0
778,2240,5884,7,0
779,2241,5885,10,0
780,2242,5885,12,0
781,2243,5886,7,0
782,2244,5892,8,0
783,2245,5892,8,0
784,2246,5895,5,0
785,2247,5895,7,0
786,2248,5896,5,0
787,2249,5896,7,0
788,2250,5897,6,0
789,2251,5898,6,0
790,2252,5899,8,0
791,2253,5901,2,0
792,2254,5902,3,0
793,2255,5902,6,0
794,2256,5916,12,0
795,2257,5917,1,1
796,2258,5930,2,1
797,2259,5930,15,0
798,2260,5931,2,1
799,2261,5931,15,0
800,2262,5932,4,0
801,2263,5932,6,0
802,2264,5934,2,1
803,2265,5934,15,0
804,2266,5937,7,0
805,2267,5937,4,0
806,2268,5938,7,0
807,2269,5938,4,0
808,2270,5939,7,0
809,2271,5939,4,0
810,2272,5940,7,0
811,2273,5940,4,0
812,2274,5942,10,0
813,2275,5944,13,0
814,2276,5949,12,0
815,2277,5951,4,0
816,2278,5961,5,0
817,2279,5961,9,0
818,2280,5966,11,0
819,2281,5966,11,0
820,2282,5967,6,0
821,2283,5967,10,0
822,2284,5968,6,0
823,2285,5969,10,0
824,2286,5975,11,0
825,2287,5975,11,0
826,2288,5976,8,0
827,2289,5977,8,0
828,2290,5978,8,0
829,2291,5980,3,0
830,2292,5982,11,0
831,2293,5982,11,0
832,2294,5985,11,0
833,2295,5985,11,0
834,2296,5986,12,0
835,2297,5987,12,0
836,2298,5988,12,0
837,2299,5990,12,0
838,2300,5991,12,0
839,2301,5994,12,0
840,2302,5995,11,0
841,2303,5998,11,0
842,2304,5998,11,0
843,2305,5999,12,0
844,2306,5999,12,0
845,2307,6001,12,0
846,2308,6003,1,1
847,2309,6003,3,0
848,2310,6004,11,0
849,2311,6004,15,0
850,2312,6005,12,0
851,2313,6006,17,0
852,2314,6006,6,0
853,2315,6007,1,1
854,2316,6007,3,0
855,2317,6010,1,1
856,2318,6010,3,0
857,2319,6011,1,1
858,2320,6011,3,0
859,2321,6012,1,1
860,2322,6012,3,0
861,2323,6013,1,1
862,2324,6013,3,0
863,2325,6014,1,1
864,2326,6014,3,0
865,2327,6015,1,1
866,2328,6015,3,0
867,2329,6020,1,1
868,2330,6020,3,0
869,2331,6021,1,1
870,2332,6021,3,0
